0.9996666666666666	 0.19773737373737374	 0.198020202020202	 0.19745454545454544	 0.0154618508315478	 0.030908193041526366	 0.030941332517090095	 20.52	 20.93	 16.75	 16.35	 14.76	 14.54
1.0	 0.20466326530612244	 0.20465306122448979	 0.2046734693877551	 0.014944981257809256	 0.030022240733027918	 0.0297570179092045	 19.9	 19.88	 15.91	 15.89	 14.12	 14.19
1.0	 0.2143505154639175	 0.21323711340206186	 0.2154639175257732	 0.014110617493888835	 0.028547475821022412	 0.027898990328408958	 18.58	 17.48	 15.3	 14.71	 13.71	 13.36
1.0	 0.221625	 0.22335416666666666	 0.21987500000000001	 0.013665321180555558	 0.026988628472222234	 0.027672743055555563	 17.23	 18.0	 14.35	 14.76	 12.78	 13.12
1.0	 0.22776842105263156	 0.22709473684210527	 0.22844210526315792	 0.01329865927977839	 0.02659660941828255	 0.02660024376731301	 16.8	 17.26	 14.06	 13.94	 12.49	 12.23
1.0	 0.23506382978723406	 0.23500000000000001	 0.2351276595744681	 0.012979719330013587	 0.02608682661837935	 0.025831145314622016	 16.8	 16.07	 13.81	 13.41	 12.32	 12.17
1.0	 0.24200859291084856	 0.24184747583243824	 0.24216970998925888	 0.012628763869163472	 0.025371976819446185	 0.025138832965488755	 15.85	 15.5	 13.17	 13.06	 11.99	 11.83
1.0	 0.24521739130434783	 0.24502173913043476	 0.24541304347826087	 0.012516587901701327	 0.0252491493383743	 0.024818336483931936	 16.06	 15.13	 12.99	 12.62	 11.57	 11.26
1.0	 0.25468131868131866	 0.25395604395604393	 0.2554065934065934	 0.011981982852312525	 0.023977587247916925	 0.023949184881053017	 14.52	 14.3	 12.06	 12.26	 10.99	 11.07
1.0	 0.2563485016648169	 0.25784683684794674	 0.254850166481687	 0.01210947017803624	 0.0239340429489493	 0.024502556661053623	 14.24	 15.24	 12.02	 12.29	 10.7	 11.29
1.0	 0.26441573033707866	 0.2648314606741573	 0.264	 0.011775179901527585	 0.0234695619239995	 0.02362469385178639	 14.2	 14.16	 11.87	 11.92	 10.42	 10.53
1.0	 0.27036363636363636	 0.2697954545454545	 0.27088636363636365	 0.011597107438016533	 0.023325206611570247	 0.023057851239669427	 13.78	 13.53	 11.74	 11.22	 10.29	 10.09
1.0	 0.275	 0.27411494252873564	 0.27586206896551724	 0.011475175056150087	 0.0230190513938433	 0.022879217862333198	 13.22	 13.31	 11.24	 11.16	 10.08	 10.0
1.0	 0.2812093023255814	 0.28286046511627905	 0.2795348837209302	 0.011311898323418066	 0.02254256354786371	 0.022699513250405624	 13.03	 13.0	 10.87	 10.8	 9.85	 9.56
1.0	 0.28591764705882355	 0.2857882352941176	 0.28602352941176473	 0.011236705882352944	 0.022334006920415223	 0.02260871972318339	 12.32	 13.29	 10.61	 10.77	 9.57	 9.71
1.0	 0.2921309523809524	 0.29104761904761905	 0.2932142857142857	 0.011057539682539681	 0.02220328798185941	 0.022026870748299322	 12.46	 12.41	 10.24	 10.31	 9.35	 9.3
1.0	 0.29743373493975905	 0.29812048192771085	 0.2966746987951807	 0.010963913485266367	 0.021909362752213682	 0.021946755697488753	 12.16	 11.99	 10.09	 10.22	 9.02	 9.18
1.0	 0.3024512195121951	 0.3027073170731707	 0.30217073170731706	 0.010938488994646046	 0.02197287328970851	 0.02177025580011898	 12.65	 11.8	 10.07	 9.78	 8.9	 8.91
1.0	 0.307283950617284	 0.3061481481481481	 0.30837037037037035	 0.010872976680384085	 0.021902636793171778	 0.021585733882030174	 11.8	 11.78	 10.04	 9.78	 8.95	 8.87
1.0	 0.3147375	 0.3155	 0.31395	 0.010672499999999998	 0.021250750000000002	 0.021428250000000003	 11.21	 11.44	 9.36	 9.57	 8.44	 8.59
1.0	 0.3218354430379747	 0.32336708860759494	 0.3202278481012658	 0.010587534049030607	 0.02106047107835283	 0.02128069219676334	 11.01	 11.07	 9.22	 9.28	 8.41	 8.47
1.0	 0.32626923076923076	 0.32697435897435895	 0.3254871794871795	 0.010531295200525967	 0.02092873109796186	 0.02118948060486521	 10.73	 11.06	 9.01	 9.35	 8.24	 8.26
1.0	 0.3328441558441559	 0.33415584415584415	 0.3314025974025974	 0.01050369370888851	 0.020905785123966937	 0.021098600101197493	 10.64	 10.77	 8.9	 9.13	 8.04	 8.17
1.0	 0.34001315789473685	 0.33960526315789474	 0.3402631578947369	 0.010355678670360106	 0.020745983379501388	 0.020662603878116345	 10.25	 10.27	 8.71	 8.71	 7.89	 7.9
1.0	 0.3476933333333333	 0.3477066666666666	 0.3475466666666667	 0.010194773333333334	 0.020234524444444443	 0.02052764444444444	 9.72	 10.29	 8.16	 8.61	 7.5	 7.74
1.0	 0.35368918918918923	 0.35354054054054057	 0.3537567567567567	 0.010201387874360845	 0.02044747991234478	 0.02034433893352812	 10.08	 9.76	 8.37	 8.3	 7.56	 7.61
1.0	 0.36010958904109586	 0.3611780821917809	 0.35898630136986304	 0.010189228748358039	 0.020343779320698065	 0.020401576280728098	 9.91	 9.71	 8.31	 8.24	 7.45	 7.48
1.0	 0.3695694444444444	 0.3695555555555555	 0.36950000000000005	 0.01006913580246914	 0.02019027777777778	 0.020082870370370376	 9.72	 9.5	 8.15	 8.1	 7.26	 7.22
1.0	 0.3737042253521127	 0.37318309859154924	 0.37408450704225354	 0.01006990676453085	 0.020022217813925804	 0.020245189446538386	 9.17	 9.35	 7.71	 8.09	 7.0	 7.43
1.0	 0.3833285714285714	 0.3830857142857143	 0.3835428571428572	 0.009985551020408162	 0.020049469387755106	 0.019878530612244906	 9.35	 9.08	 7.83	 7.71	 7.06	 7.01
